University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
Evangelical Seminary,1018,1199,1122,18,28,21.0,16160,Public University,Rolling,2.91,74,6.0,1.0,2638-5430,23.0,http://evangelical.edu/
Franklin & Marshall College,1298,1460,1394,20,26,22.0,68380,Private College,March 1,3.62,89,6.0,1.0,7687-18573,38.0,http://fandm.edu/
Saint Francis University,1020,1250,1151,18,28,21.0,41720,Public University,Rolling,3.41,82,6.0,1.0,5523-11474,15.0,http://francis.edu/
Grove City College,1128,1374,1261,23,29,28.0,20890,Private College,Rolling,3.65,84,6.0,1.0,8380-18177,33.0,http://gcc.edu/
Geneva College,1045,1406,1240,22,32,28.0,33610,Private College,2025-12-12,3.68,89,7.0,1.0,5705-14679,38.0,http://geneva.edu/
Gettysburg College,1240,1460,1350,22,32,28.0,64230,Private College,February 1,3.36,90,7.0,1.0,8684-18813,27.0,http://gettysburg.edu/
Harrisburg Area Community College,963,1134,1068,17,23,19.0,7373,Public Community College,2025-11-20,2.31,61,6.5,1.0,1245-2020,16.0,http://hacc.edu/
Haverford College,1430,1540,1498,22,32,28.0,68300,Private College,June 1,3.25,90,6.5,1.0,6926-18749,39.0,http://haverford.edu/
Holy Family University,950,1130,1030,20,25,22.5,33968,Public University,July 1,3.09,79,7.0,1.0,3606-9922,21.0,http://holyfamily.edu/
Indiana University of Pennsylvania,940,1170,1052,17,28,24.5,11380,Public University,June 1,3.21,82,6.5,1.0,4008-7665,23.0,http://iup.edu/
Thomas Jefferson University,1150,1350,1259,20,23,21.5,45683,Public University,March 1,2.91,85,6.0,1.0,5825-10654,17.0,http://jefferson.edu/
Juniata College,1070,1280,1185,22,29,26.5,56402,Private College,June 1,3.1,78,6.5,1.0,7531-18889,27.0,http://juniata.edu/
Keystone College,910,1130,1030,21,29,25.0,17850,Private College,June 1,3.59,90,6.5,1.0,8670-19755,39.0,http://keystone.edu/
King’s College,1060,1240,1150,23,29,28.0,42600,Private College,March 1,3.43,83,6.0,1.0,7482-19463,32.0,http://kings.edu/
Kutztown University,1070,1270,1170,18,24,19.0,11230,Public University,Rolling,3.28,78,6.0,1.0,4061-6505,16.0,http://kutztown.edu/
Lackawanna College,1170,1380,1285,23,32,29.5,17950,Private College,March 1,3.61,79,6.0,1.0,8674-19146,28.0,http://lackawanna.edu/
Lafayette College,1340,1490,1419,24,30,25.0,62574,Private College,July 1,3.17,100,7.0,1.0,7700-15048,38.0,http://lafayette.edu/
Lancaster County Career and Technology Center,929,1234,1076,21,27,25.0,15810,Public University,January 15,2.9,81,6.5,1.0,5228-10208,25.0,http://lancasterctc.edu/
Lancaster Theological Seminary,1044,1212,1124,21,28,25.5,15700,Public University,February 1,2.91,74,7.0,1.0,3809-9930,23.0,http://lancasterseminary.edu/
La Roche College,1012,1244,1140,20,29,23.5,34290,Private College,February 1,3.45,80,7.0,1.0,8784-13261,29.0,http://laroche.edu/
La Salle University,1061,1186,1142,17,24,22.5,35570,Public University,June 1,3.14,78,6.5,1.0,4070-7703,24.0,http://lasalle.edu/
Lehigh Carbon Community College,924,1040,988,16,20,16.5,5215,Public Community College,July 1,2.67,70,6.5,1.0,945-1849,10.0,http://lccc.edu/
Lake Erie College of Osteopathic Medicine,1058,1240,1166,22,26,25.0,32580,Private College,January 15,3.17,75,6.5,1.0,8240-18461,40.0,http://lecom.edu/
Lehigh University,1350,1490,1432,20,23,21.5,62180,Public University,2025-11-01,3.15,85,7.0,1.0,2475-6607,16.0,http://lehigh.edu/
Lock Haven University,1015,1304,1142,20,29,24.5,13810,Public University,March 1,3.32,75,6.0,1.0,2543-6232,25.0,http://lhup.edu/
The Lincoln University,936,1186,1075,17,28,24.5,10000,Public University,2025-05-01,2.85,82,7.0,1.0,3407-5436,23.0,http://lincoln.edu/
Lansdale School of Business,1044,1354,1210,18,28,21.0,11850,Public University,February 1,2.93,82,7.0,1.0,2719-8753,20.0,http://lsb.edu/
Lebanon Valley College,1093,1300,1190,23,31,29.0,50320,Private College,March 1,3.63,81,6.0,1.0,7544-13171,30.0,http://lvc.edu/
Lycoming College,1070,1273,1169,23,26,25.5,47675,Private College,June 1,3.1,86,6.5,1.0,8332-17461,35.0,http://lycoming.edu/
Manor College,725,935,820,24,29,24.5,19964,Private College,Rolling,3.7,90,6.0,1.0,7513-18780,39.0,http://manor.edu/
Mansfield University,960,1322,1155,18,26,20.0,20000,Public University,February 1,2.84,72,7.0,1.0,3358-6284,17.0,http://mansfield.edu/
Marywood University,1050,1240,1153,18,28,21.0,39570,Public University,February 1,3.18,74,7.0,1.0,4103-9252,15.0,http://marywood.edu/
Montgomery County Community College,924,1061,1000,16,23,17.5,6270,Public Community College,February 1,2.64,73,6.5,1.0,1365-2294,10.0,http://mc3.edu/
Mercyhurst University,1076,1338,1219,19,22,19.5,44510,Public University,June 1,2.88,76,6.5,1.0,3796-10126,20.0,http://mercyhurst.edu/
Messiah College,1047,1291,1165,23,26,25.5,17000,Private,January 15,3.51,75,6.5,1.0,7962-13941,40.0,http://messiah.edu/
Millersville University,1030,1210,1120,17,23,22.0,12262,Public,January 15,3.38,77,6.5,1.0,4117-6775,18.0,http://millersville.edu/
Misericordia University,1065,1345,1223,18,24,19.0,38370,Public University,2025-12-08,2.95,70,7.0,1.0,4326-9034,16.0,http://misericordia.edu/
Moravian College,1114,1271,1204,24,29,24.5,23590,Private College,February 1,3.11,88,7.0,1.0,5963-13107,37.0,http://moravian.edu/
Mount Aloysius College,900,1105,1034,21,30,25.5,26156,Private College,Rolling,3.2,76,6.0,1.0,8732-14848,25.0,http://mtaloy.edu/
Muhlenberg College,1230,1400,1327,24,31,25.5,60240,Private College,Rolling,3.63,80,6.0,1.0,5021-13525,29.0,http://muhlenberg.edu/
Neumann University,1005,1231,1118,18,26,20.0,37300,Public University,February 1,3.43,72,7.0,1.0,5379-9916,19.0,http://neumann.edu/
Northampton Community College,949,1134,1050,18,21,19.5,5310,Public Community College,Rolling,2.35,71,5.5,1.0,1714-2679,16.0,http://northampton.edu/
Pennsylvania Gunsmith School,985,1245,1130,17,26,23.5,11770,Public University,Rolling,3.17,72,6.0,1.0,3551-9871,21.0,http://pagunsmith.edu/
Philadelphia College of Osteopathic Medicine,1085,1400,1250,24,29,24.5,19730,Private College,July 1,3.59,81,7.0,1.0,7448-14676,30.0,http://pcom.edu/
Pennsylvania College of Technology,1077,1224,1170,20,31,24.5,17940,Private College,March 1,3.65,85,6.0,1.0,7307-13522,34.0,http://pct.edu/
Philadelphia University,1150,1350,1259,19,23,20.0,45683,Public University,July 1,3.16,85,7.0,0.0,5759-12396,25.0,http://philau.edu/
University of Pittsburgh,1270,1450,1371,17,22,21.5,21524,Public,February 1,3.46,84,7.0,1.0,5513-9183,15.0,http://pitt.edu/
Penn State University,1030,1270,1133,19,27,22.0,14380,Public,March 1,3.28,81,6.0,1.0,3529-7914,18.0,http://psu.edu/
Reading Area Community College,943,1165,1057,14,21,18.5,6270,Public Community College,Rolling,2.44,65,5.5,1.0,1170-2393,11.0,http://racc.edu/
Robert Morris University,1049,1225,1140,19,25,21.0,34940,Public University,January 15,3.28,55,6.5,1.0,2896-6106,18.0,http://rmu.edu/
Saint Vincent Seminary,1020,1277,1162,20,23,21.5,19000,Public University,July 1,3.13,77,7.0,1.0,5766-7771,19.0,http://saintvincentseminary.edu/
Salus University,964,1219,1094,17,23,22.0,10000,Public University,March 1,2.82,77,6.0,1.0,2615-7867,16.0,http://salus.edu/
The University of Scranton,1096,1347,1230,20,22,21.0,10350,Public University,2026-05-20,3.09,76,6.0,1.0,5187-8513,21.0,http://scranton.edu/
Shippensburg University,990,1210,1090,18,29,21.5,13544,Public University,July 1,3.2,83,7.0,1.0,4706-10602,18.0,http://ship.edu/
Saint Joseph’s University,1150,1330,1256,21,26,24.5,51340,Public University,February 1,3.46,280,7.0,1.0,2992-9197,25.0,http://sju.edu/
Slippery Rock University,980,1190,1086,20,24,22.0,10507,Public University,Rolling,2.96,70,6.0,1.0,4255-11112,21.0,http://sru.edu/
Saint Vincent College,993,1231,1120,22,31,27.5,41100,Private College,January 15,3.13,80,6.0,1.0,6522-12576,30.0,http://stvincent.edu/
Susquehanna University,1090,1290,1211,20,24,22.0,57400,Public University,June 1,3.08,70,6.5,1.0,5306-11579,15.0,http://susqu.edu/
Swarthmore College,1460,1560,1527,20,28,23.0,62412,Private College,March 1,3.67,81,6.0,0.0,6920-12565,30.0,http://swarthmor.edu/
Temple University,966,1327,1146,19,26,21.5,22082,Public University,February 1,3.02,72,7.0,1.0,5665-9275,20.0,http://temple.edu/
The  American College of Financial Services,1042,1295,1152,20,31,24.5,10000,Private College,July 1,3.39,79,7.0,1.0,6804-15763,28.0,http://theamericancollege.edu/
Thiel College,1110,1357,1218,23,30,28.5,36864,Private College,June 1,3.68,84,6.5,1.0,7223-13304,33.0,http://thiel.edu/
University of the Arts,967,1327,1139,21,25,24.0,54290,Public University,March 1,3.12,79,6.0,0.0,2561-5800,23.0,http://uarts.edu/
University of Pennsylvania,954,1257,1096,17,26,23.5,32400,Public University,February 1,3.17,72,7.0,1.0,2471-6570,24.0,http://upenn.edu/
University of the Sciences in Philadelphia,1070,1162,1107,18,22,18.5,9630,Public University,June 1,3.28,84,6.5,1.0,5189-11567,19.0,http://usciences.edu/
Valley Forge Christian College,1082,1331,1220,20,31,24.5,19370,Private College,July 1,3.35,77,7.0,1.0,8739-20281,26.0,http://vfcc.edu/
Villanova University,1400,1510,1466,19,25,21.0,64701,Public University,July 1,3.36,79,7.0,1.0,3083-9546,25.0,http://villanova.edu/
Washington and Jefferson  College,1161,1264,1224,24,29,24.5,33100,Private College,June 1,3.19,82,6.5,0.0,5315-11444,31.0,http://washjeff.edu/
Westmoreland County Community College,907,1134,1038,18,24,21.0,5880,Public Community College,March 1,2.5,68,5.5,0.0,860-2341,16.0,http://wccc.edu/
West  Chester University,1100,1270,1184,20,24,22.0,10687,Public University,June 1,3.19,78,6.5,1.0,2078-6749,17.0,http://wcupa.edu/
Westminster College,1095,1375,1236,22,26,25.0,39470,Private College,2025-06-01,3.12,80,6.5,1.0,8095-14410,38.0,http://westminster.edu/
Widener University,1050,1260,1170,22,27,25.5,53638,Private,January 15,3.64,85,6.5,1.0,5079-9939,34.0,http://widener.edu/
Wilkes University,1060,1305,1145,17,23,22.0,14258,Public University,January 15,3.3,77,6.5,1.0,4904-8294,21.0,http://wilkes.edu/
Wilson College,940,1110,1020,23,27,26.5,27000,Private College,January 15,3.15,87,6.5,1.0,8556-17322,36.0,http://wilson.edu/
York College of Pennsylvania,1030,1230,1135,23,31,29.0,24606,Private College,July 1,3.39,85,7.0,1.0,5894-10086,34.0,http://ycp.edu/
Pennsylvania Academy of the Fine Arts,1063,1337,1194,18,26,20.0,44600,Public University,Rolling,3.38,80,6.0,1.0,2086-6546,22.0,http://pafa.edu/
East Stroudsburg University,970,1170,1078,21,24,23.5,11036,Public University,June 1,2.95,78,6.5,1.0,4799-7052,23.0,http://esu.edu/
Ursinus College,1160,1360,1304,21,27,24.0,59196,Private College,June 1,3.63,90,6.5,1.0,6401-10610,39.0,http://ursinus.edu/
DeSales University,1090,1290,1199,20,23,21.5,44800,Public University,January 15,3.13,85,6.5,1.0,5064-7260,15.0,http://desales.edu/
Lancaster Bible College,1080,1270,1161,23,32,29.5,29990,Private College,July 1,3.33,75,7.0,1.0,8421-15337,40.0,http://lbc.edu/
Cheyney University of Pennsylvania,1110,1151,1132,17,25,23.0,10904,Public,July 1,3.01,79,7.0,1.0,2150-4401,19.0,http://cheyney.edu/
Brown University,1500,1570,1546,20,28,24.0,68230,Public University,Rolling,3.2,82,6.0,1.0,4989-8564,22.0,http://brown.edu/
Bryant University,1160,1340,1263,18,24,19.0,51169,Public University,Rolling,2.99,78,6.0,1.0,5096-8281,23.0,http://bryant.edu/
Community College of Rhode Island,959,1083,1024,15,19,18.5,5326,Public Community College,2025-12-10,2.48,75,6.0,1.0,1044-2610,11.0,http://ccri.edu/
Johnson and Wales University,1026,1207,1132,18,22,18.5,71000,Public University,February 1,3.21,84,7.0,1.0,5747-8520,15.0,http://jwu.edu/
New England Institute of Technology,1068,1189,1114,19,26,21.5,35625,Public University,February 1,2.81,72,7.0,1.0,5848-11852,21.0,http://neit.edu/
Providence College,1250,1400,1342,23,26,25.5,60848,Private College,June 1,3.28,78,6.5,1.0,6940-14704,27.0,http://providence.edu/
The University of Rhode Island,1018,1261,1128,18,25,19.5,10000,Public,March 1,3.38,79,6.0,1.0,5838-8810,22.0,http://uri.edu/
Rhode Island College,860,1160,1010,20,30,24.0,10986,Private College,2025-12-15,3.14,79,6.5,1.0,7956-17698,31.0,http://ric.edu/
Rhose Island School of Design,1075,1214,1146,21,23,22.5,12880,Public University,March 1,3.02,85,6.0,1.0,3893-8056,19.0,http://risd.edu/
Roger Williams University,1130,1300,1228,20,26,22.0,42666,Private,February 1,3.31,78,7.0,1.0,7144-16385,27.0,http://rwu.edu/
University of Rhode Island,1030,1270,1176,18,23,18.5,16408,Public,January 15,3.26,77,6.5,1.0,4626-10875,17.0,http://uri.edu/
Centura College,1127,1418,1286,20,26,22.0,2000,Private College,February 1,3.47,90,7.0,1.0,8509-14852,39.0,http://centura.edu/
The Citadel Military College of South Carolina,1170,1377,1284,23,26,25.5,25110,Private College,Rolling,3.16,78,6.0,1.0,7373-14521,27.0,http://citadel.edu/
Columbia International University,1093,1186,1160,19,24,20.5,27900,Public University,Rolling,3.47,70,6.0,1.0,2668-8097,17.0,http://ciu.edu/
Clemson University,1230,1390,1341,20,27,23.5,15554,Public University,July 1,3.41,73,7.0,1.0,2546-4599,24.0,http://clemson.edu/
Coastal Carolina University,1050,1210,1128,20,26,23.0,11640,Public University,June 1,3.28,72,6.5,1.0,2642-8921,21.0,http://coastal.edu/
College of Charleston,1130,1300,1238,20,25,22.5,12978,Public,July 1,3.39,71,7.0,1.0,5112-11737,21.0,http://cofc.edu/
Coker College,1133,1316,1222,24,31,25.5,10000000,Private,2025-06-30,3.68,82,7.0,1.0,8039-13365,31.0,http://coker.edu/
Columbia College South Carolina,1031,1277,1167,20,32,25.0,24740,Private College,February 1,3.19,84,7.0,1.0,8021-16890,33.0,http://columbiasc.edu/
Florence-Darlington Technical College,943,1273,1122,20,25,22.5,4636,Public Technical College,March 1,3.4,71,6.0,1.0,4560-8054,17.0,http://fdtc.edu/
Francis Marion University,900,1138,1039,18,22,18.5,11160,Public,2025-12-20,3.05,84,7.0,1.0,2395-6260,21.0,http://fmarion.edu/
Forrest College,1059,1271,1182,21,28,24.5,39180,Private College,July 1,3.56,87,7.0,1.0,8454-15163,36.0,http://forrestcollege.edu/
Furman University,1260,1425,1364,19,22,19.5,58312,Public University,June 1,3.16,76,6.5,1.0,5581-11728,16.0,http://furman.edu/
Lander University,960,1160,1057,19,25,21.0,11700,Public University,January 15,3.17,79,6.5,1.0,5444-8756,24.0,http://lander.edu/
Limestone College,1111,1339,1236,24,28,24.5,1500,Private College,January 15,3.68,89,6.5,1.0,8400-18210,38.0,http://limestone.edu/
Midlands Technical College,1005,1356,1198,19,22,19.5,4788,Public Technical College,February 1,3.13,76,7.0,1.0,4552-8477,24.0,http://midlandstech.edu/
Medical University of South Carolina,1074,1329,1208,18,23,18.5,9360,Public University,July 1,3.11,85,7.0,1.0,4808-10188,21.0,http://musc.edu/
Newberry College,820,1060,1008,23,31,29.0,30050,Private College,July 1,3.5,75,7.0,1.0,8942-19896,40.0,http://newberry.edu/
North Greenville University,1010,1250,1176,17,27,24.0,24650,Public University,March 1,3.47,73,6.0,1.0,2496-6917,15.0,http://ngu.edu/
Orangeburg-Calhoun Technical College,1062,1283,1184,18,29,21.5,4970,Public Technical College,July 1,2.98,75,7.0,1.0,4554-10189,19.0,http://octech.edu/
Presbyterian College,1080,1280,1214,24,31,25.5,43300,Private College,March 1,3.33,89,6.0,1.0,5912-17104,38.0,http://presby.edu/
University of South Carolina,970,1200,1063,20,28,24.0,10760,Public,Rolling,3.14,82,6.0,1.0,3170-9058,25.0,http://sc.edu/
South Carolina State University,949,1210,1086,17,23,22.0,11060,Public University,March 1,3.41,85,6.0,1.0,2833-5556,25.0,http://scsu.edu/
Sinte Gleska University,965,1343,1140,17,24,22.5,15360,Public University,2025-07-29,3.26,78,6.5,1.0,5030-11537,20.0,http://sintegleska.edu/
Spartanburg Methodist College,1146,1220,1168,24,27,24.5,19350,Private College,July 1,3.58,81,7.0,1.0,7339-17036,30.0,http://smcsc.edu/
TriCounty Technical College,1105,1229,1154,20,26,23.0,4448,Public Technical College,Rolling,2.86,80,6.0,0.0,3974-7480,23.0,http://tctc.edu/
University of South Carolina Aiken,970,1200,1063,17,28,24.5,10760,Public University,Rolling,3.05,82,6.0,1.0,2537-6307,24.0,http://usca.edu/
University of South Carolina Beaufort,1043,1184,1132,20,28,24.0,10730,Public University,June 1,3.24,82,6.5,1.0,5136-8505,15.0,http://uscb.edu/
University of South Carolina Upstate,1000,1170,1082,21,23,22.5,11583,Public,July 1,3.06,77,7.0,1.0,2632-8783,21.0,http://uscupstate.edu/
Winthrop University,1010,1220,1132,19,24,20.5,15956,Public University,Rolling,3.27,70,6.0,1.0,2042-5719,16.0,http://winthrop.edu/
Wofford College,1200,1350,1297,24,29,24.5,54100,Private College,February 1,3.22,84,7.0,1.0,5640-16690,33.0,http://wofford.edu/
York Technical College,986,1295,1130,18,25,19.5,5512,Public Technical College,January 15,3.35,71,6.5,1.0,2811-7413,22.0,http://yorktech.edu/
Bob Jones University,1059,1253,1159,17,28,24.5,23400,Public University,February 1,3.27,74,7.0,1.0,5647-10193,23.0,http://bju.edu/
Anderson University,1090,1290,1190,20,24,22.0,33580,Public University,June 1,3.44,70,6.5,1.0,2793-5823,18.0,http://anderson.edu/
Anderson University,1090,1290,1190,20,24,22.0,33580,Public University,June 1,3.44,70,6.5,0.0,2793-5823,18.0,http://andersonuniversity.edu/
Black Hills State University,1011,1271,1149,18,28,21.0,9000,Public University,February 1,2.92,82,7.0,1.0,4572-7129,22.0,http://bhsu.edu/
Dakota State University,1020,1340,1129,19,27,22.0,9633,Public University,January 15,3.48,73,6.5,1.0,5000-9893,23.0,http://dsu.edu/
Dakota Wesleyan University,1006,1278,1124,21,26,24.5,32890,Public University,2025-06-15,3.02,80,6.0,1.0,3945-9509,18.0,http://dwu.edu/
Mount Marty College,1086,1337,1202,20,31,24.5,24000,Private College,July 1,3.19,81,7.0,1.0,8843-19461,30.0,http://mtmc.edu/
Northern State University,1002,1276,1158,19,23,20.0,8845,Public University,2025-10-01,3.45,77,7.0,1.0,5423-10734,21.0,http://northern.edu/
South Dakota School of Mines and Technology,1130,1320,1245,17,27,24.0,10400,Public University,March 1,3.06,73,6.0,1.0,4467-8993,22.0,http://sdsmt.edu/
South Dakota State University,1040,1300,1121,21,26,24.5,9299,Public University,June 1,3.14,80,6.5,1.0,4523-11369,21.0,http://sdstate.edu/
University of South Dakota,1040,1300,1121,20,24,22.0,9299,Public University,February 1,2.99,70,7.0,1.0,5669-12360,18.0,http://usd.edu/
University of Sioux Falls,1016,1170,1101,20,26,23.0,20740,Public University,June 1,3.01,72,6.5,1.0,2790-7095,24.0,http://usioxfalls.edu/
Western Dakota Technical Institute,1077,1158,1098,19,28,22.5,9200,Public Technical College,February 1,3.06,82,7.0,1.0,4307-8382,19.0,http://wdt.edu/
Austin Peay State University,943,1165,1050,18,27,20.5,8675,Public University,March 1,3.19,73,6.0,1.0,4732-10542,23.0,http://apsu.edu/
Belmont University,1160,1350,1277,21,27,25.0,41320,Public University,January 15,2.87,73,6.5,1.0,3413-6722,25.0,http://belmont.edu/
Bryan College,1056,1294,1166,21,30,25.5,18900,Private College,2025-05-01,3.31,89,6.5,1.0,8201-17306,38.0,http://bryan.edu/
Christian Brothers University,1040,1300,1069,20,26,22.0,37300,Private University,2025-12-02,3.12,79,6.0,1.0,8332-15186,28.0,http://cbu.edu/
Carson-Newman University,940,1130,1111,20,23,21.5,34700,Public University,July 1,3.31,85,7.0,1.0,4489-11258,22.0,http://cn.edu/
Columbia State Community College,795,904,840,18,20,19.0,4904,Public Community College,July 1,2.49,64,6.5,0.0,1393-2813,10.0,http://columbiastate.edu/
Cumberland University,954,1358,1163,19,26,21.5,27840,Public University,February 1,3.39,72,7.0,0.0,5604-10165,21.0,http://cumberland.edu/
DeVry University,991,1251,1127,18,26,20.0,9950,Public University,Rolling,3.47,80,6.0,0.0,2911-9495,18.0,http://devry.edu/
East Tennessee State University,950,1170,1114,17,26,23.5,9950,Public University,June 1,2.82,72,6.5,1.0,4848-8244,17.0,https://etsu.edu/
Freed-Hardeman University,934,1084,1109,19,24,20.5,25000,Public University,June 1,2.89,70,6.5,1.0,5428-10840,20.0,http://fhu.edu/
Fisk University,1160,1480,1236,21,24,23.5,24298,Public University,Rolling,3.37,70,6.0,1.0,5572-8643,15.0,http://fisk.edu/
Huntington College of Health Sciences,1159,1360,1240,21,27,24.0,27870,Private College,June 1,3.7,78,6.5,0.0,7959-15444,27.0,http://hchs.edu/
Hiwassee College,1125,1322,1238,20,27,22.5,11434,Private College,February 1,3.58,82,7.0,0.0,6447-15598,31.0,http://hiwassee.edu/
Johnson University,890,1090,1072,20,27,23.5,20318,Public University,March 1,3.22,73,6.0,1.0,3486-7460,21.0,http://johnsonu.edu/
Jackson State Community College,804,974,891,14,23,19.5,4516,Public Community College,February 1,2.43,73,6.5,1.0,1377-2256,15.0,http://jscc.edu/
Lee University,1020,1240,1144,17,25,23.0,22690,Public University,July 1,2.89,71,7.0,0.0,3214-6296,24.0,http://leeuniversity.edu/
Lincoln Memorial University,1006,1220,1093,19,22,19.5,26150,Public University,February 1,3.13,84,7.0,1.0,3544-9830,17.0,http://lmunet.edu/
The LeMoyne-Owen College,1001,1280,1138,20,29,23.5,33050,Private College,July 1,3.66,77,7.0,0.0,8724-15469,26.0,http://loc.edu/
The University of Memphis,981,1254,1106,20,24,22.0,10380,Public University,February 1,3.06,78,7.0,1.0,2860-6740,23.0,http://memphis.edu/
Milligan College,1124,1352,1224,23,28,27.5,38490,Private College,February 1,3.31,76,7.0,1.0,6681-14797,25.0,http://milligan.edu/
Middle Tennessee State University,1000,1230,1119,21,23,22.5,9506,Public University,March 1,3.48,77,6.0,1.0,2303-4573,17.0,http://mtsu.edu/
Nashville State Community College,923,1124,1006,18,19,18.5,4498,Public Community College,June 1,2.45,63,6.0,1.0,1079-2407,11.0,http://nscc.edu/
Pellissippi State Community College,795,1013,922,17,23,19.0,4576,Public Community College,February 1,2.31,67,6.5,1.0,1250-2252,14.0,http://pstcc.edu/
Rhodes College,1290,1490,1385,20,26,22.0,54892,Private College,2025-12-01,3.44,82,6.5,1.0,8929-18436,31.0,http://rhodes.edu/
Roane State Community College,792,953,888,15,20,19.5,4762,Public Community College,July 1,2.4,70,6.5,1.0,1263-2374,13.0,http://roanestate.edu/
Southern College of Optometry,1180,1410,1275,21,31,26.0,34510,Private College,2025-04-11,3.24,84,6.0,1.0,5670-11612,33.0,http://sco.edu/
Sewanee The University of the South,1074,1261,1188,19,25,21.0,626000,Public University,July 1,3.4,71,7.0,1.0,5909-8109,22.0,http://sewanee.edu/
Southern Adventist University,970,1270,1116,20,27,23.5,25590,Public University,March 1,3.04,73,6.0,1.0,5564-9283,18.0,http://southern.edu/
The University of Tennessee,1041,1221,1126,18,27,20.5,8370,Public University,July 1,3.38,81,7.0,1.0,3540-9766,18.0,http://tennessee.edu/
Southwest Tennessee Community College,949,1150,1034,15,24,21.5,4550,Public Community College,March 1,2.2,68,5.5,1.0,1184-1995,11.0,http://tn.edu/
Tennessee State University,950,1170,1114,19,23,20.0,9950,Public,2025-08-01,2.98,77,6.0,1.0,5052-9053,18.0,http://tnstate.edu/
Tennessee Technological University,1020,1250,1148,20,29,24.5,10084,Public,March 1,3.29,83,6.0,1.0,2619-5579,21.0,http://tntech.edu/
Tennessee Wesleyan College,1136,1276,1218,22,30,27.0,17250,Private College,June 1,3.19,80,6.5,1.0,8405-19568,29.0,http://twcnet.edu/
University of Tennessee Chattanooga,1005,1185,1117,20,26,23.0,10144,Public University,Rolling,3.04,72,6.0,1.0,5239-9000,21.0,http://utc.edu/
University of Tennessee Health Science Center,965,1318,1144,19,29,23.0,7600,Public University,January 15,3.04,75,6.5,1.0,4180-9799,21.0,http://uthsc.edu/
University of Tennessee Knoxville,1190,1340,1304,20,27,23.5,13484,Public University,March 1,3.25,81,6.0,1.0,2643-5867,15.0,http://utk.edu/
University of Tennessee Martin,1000,1210,1090,18,28,21.0,10208,Public,February 1,3.04,74,7.0,1.0,3094-6350,22.0,http://utm.edu/
University of Tennessee Space Institute,1054,1329,1212,20,29,24.5,14250,Public University,March 1,3.07,83,6.0,0.0,4127-8752,17.0,http://utsi.edu/
Union University,1030,1340,1243,17,23,22.0,38450,Public University,January 15,2.94,85,6.5,1.0,5106-11964,22.0,http://uu.edu/
Vanderbilt University,1510,1560,1550,20,26,22.0,63946,Private,Rolling,3.43,90,6.0,1.0,8994-13937,39.0,http://vanderbilt.edu/
Volunteer State Community College,906,1020,981,16,23,17.5,4524,Public Community College,February 1,2.43,61,6.5,1.0,1230-2280,15.0,http://volstate.edu/
King University,1068,1156,1104,17,22,21.5,34800,Public University,February 1,3.5,76,7.0,0.0,2424-6829,25.0,http://king.edu/
Abilene Christian University,1060,1290,1189,23,26,25.5,42380,Private University,January 15,3.4,89,6.5,1.0,6835-18253,38.0,http://acu.edu/
Alamo Colleges,1115,1336,1238,23,32,29.5,70000,Private College,June 1,3.11,82,6.5,1.0,7242-14529,31.0,http://alamo.edu/
Alvin Community College,854,995,944,15,19,18.5,1834,Public Community College,June 1,2.3,63,6.0,1.0,1341-2796,14.0,http://alvincollege.edu/
Angelo State University,920,1140,1049,18,26,20.0,8319,Public University,June 1,3.11,80,6.5,1.0,4622-10970,16.0,http://angelo.edu/
Austin Community College District,895,1014,962,17,21,18.0,2550,Public Community College,Rolling,2.23,65,5.5,0.0,1095-2305,13.0,http://austincc.edu/
Austin College,1170,1340,1272,22,30,27.0,46500,Private College,July 1,3.33,83,7.0,1.0,6813-12985,32.0,http://austincollege.edu/
Austin Graduate School of Theology,1066,1163,1122,17,27,24.0,9350,Public University,March 1,3.44,73,6.0,0.0,5698-9894,16.0,http://austingrad.edu/
Baylor University,970,1200,1098,19,29,23.0,33150,Public,March 1,2.92,75,6.0,1.0,3315-8234,23.0,http://baylor.edu/
Blinn College,1026,1298,1145,24,28,24.5,4580,Private College,February 1,3.35,84,7.0,1.0,6255-17878,33.0,http://blinn.edu/
Brazosport College,1152,1321,1248,20,30,24.0,2388,Private College,2025-06-01,3.62,61,6.5,1.0,6254-17291,28.0,http://brazosport.edu/
Brookhaven College,1101,1380,1254,24,30,25.0,2400,Private College,Rolling,3.54,80,6.0,1.0,7184-16576,29.0,http://brookhavencollege.edu/
Baptist Health System School of Health Professions,1018,1163,1100,17,23,22.0,14675,Public University,March 1,3.19,85,6.0,1.0,2062-4659,17.0,http://bshp.edu/
Career Point College,1150,1323,1238,20,32,25.0,10000,Private College,Rolling,3.23,80,6.0,1.0,5273-10201,29.0,http://careerpointcollege.edu/
Cedar Valley College,1038,1298,1180,23,32,29.5,39090,Private College,July 1,3.68,79,7.0,0.0,7533-13588,28.0,http://cedarvalleycollege.edu/
Coastal Bend College,1155,1326,1240,21,32,26.5,2933,Private College,Rolling,3.57,82,6.0,1.0,5727-9752,31.0,http://coastalbend.edu/
College of the Mainland,1021,1279,1139,21,32,26.5,1773,Private College,June 1,3.49,76,6.5,1.0,8962-18580,25.0,http://com.edu/
