University,Institution_Type,City,State,Location,US_News_Ranking_2025,Data_Quality,Acceptance_Rate_Pct,Bach_SAT_25th,Bach_SAT_75th,Bach_SAT_Midpoint,Bach_ACT_25th,Bach_ACT_75th,Bach_ACT_Midpoint,Bach_SAT_ACT_Policy,Bach_Avg_GPA_Admitted,Bach_TOEFL_Min,Bach_IELTS_Min,Bach_Tuition_InState_USD,Bach_Tuition_OutOfState_USD,Bach_Annual_Tuition_USD,Bach_Application_Deadline,Scholarship_Financial_Aid,Masters_Programs_Offered,Masters_Min_GPA_Recommended,Masters_GRE_Policy,Masters_Avg_GRE_Verbal,Masters_Avg_GRE_Quant,Masters_TOEFL_Min,Masters_IELTS_Min,Masters_Annual_Tuition_USD,Masters_Application_Deadline,Masters_LOR_Count,Masters_SOP_Required,TOEFL_IELTS_Source,Data_Source,Official_URL
Ross Medical Education Center-Lansing,Private University (For-Profit),Lansing,MI,"Lansing, MI",Unranked,Estimated (type-based),82.1,960.0,1070.0,1015.0,20.0,23.0,22.0,Not required,2.54,80.0,6.5,16600,16600,16600,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://rosseducation.edu/
Ross Medical Education Center-Warren,Private University (For-Profit),Warren,MI,"Warren, MI",Unranked,Estimated (type-based),82.1,940.0,1065.0,1002.0,20.0,23.0,22.0,Not required,2.75,80.0,6.5,16600,16600,16600,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://rosseducation.edu/
Rowan College at Burlington County,Public Community College,Mount Laurel,NJ,"Mount Laurel, NJ",Unranked,Estimated (type-based),87.5,840.0,960.0,900.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,7000,9500,9500,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.rcbc.edu/
Rowan College of South Jersey-Cumberland Campus,Public Community College,Vineland,NJ,"Vineland, NJ",Unranked,Estimated (type-based),82.1,815.0,970.0,892.0,16.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5200,6000,6000,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://rcsj.edu/
Rowan College of South Jersey-Gloucester Campus,Public Community College,Sewell,NJ,"Sewell, NJ",Unranked,Estimated (type-based),82.1,825.0,965.0,895.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5200,6000,6000,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://rcsj.edu/
Rowan University,Public University,Glassboro,NJ,"Glassboro, NJ",Unranked,Estimated (SAT-based),77.7,1110.0,1310.0,1210.0,23.0,29.0,26.0,Test-Optional,3.32,80.0,6.5,16600,26900,26900,Rolling admissions,Institutional merit awards; need-based grants,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,18900.0,Rolling / January 15,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.rowan.edu/
Roxbury Community College,Public Community College,Roxbury Crossing,MA,"Roxbury Crossing, MA",Unranked,Estimated (type-based),83.3,850.0,1000.0,925.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6000,11300,11300,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.rcc.mass.edu/
Rush University,Private University (Nonprofit),Chicago,IL,"Chicago, IL",Unranked,Estimated (type-based),70.9,1100.0,1250.0,1170.0,24.0,27.0,26.0,Test-Optional,3.28,80.0,6.5,38200,38200,38200,January 1,Merit scholarships and need-based aid available,Yes,2.75,Not required,152.0,155.0,85.0,7.0,33900.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.rushu.rush.edu/
Rust College,Private University (Nonprofit),Holly Springs,MS,"Holly Springs, MS",Unranked,Estimated (type-based),48.7,1160.0,1320.0,1240.0,25.0,29.0,27.0,Test-Optional,3.4,80.0,6.5,13300,13300,13300,November 1 (ED); January 15 (RD),Merit scholarships and need-based aid available,Yes,3.0,Optional (waived for most programs),155.0,158.0,85.0,7.0,11900.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.rustcollege.edu/
Rutgers University-Camden,Public University,Camden,NJ,"Camden, NJ",Unranked,Estimated (SAT-based),66.3,1050.0,1300.0,1180.0,19.0,25.0,22.0,Test-Optional,3.24,80.0,6.5,17800,37300,37300,February 1,State and federal aid; merit scholarships available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,25800.0,January 15,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://camden.rutgers.edu/
Rutgers University-New Brunswick,Public University,New Brunswick,NJ,"New Brunswick, NJ",Unranked,Estimated (SAT-based),58.1,1310.0,1500.0,1400.0,28.0,33.0,30.0,Test-Optional,3.73,90.0,7.0,17900,37400,37400,February 1,State and federal aid; merit scholarships available,Yes,3.3,Optional for most programs,153.0,158.0,95.0,7.5,26800.0,January 15,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://newbrunswick.rutgers.edu/
Rutgers University-Newark,Public University,Newark,NJ,"Newark, NJ",Unranked,Estimated (type-based),71.4,1080.0,1240.0,1160.0,23.0,27.0,25.0,Test-Optional,3.24,79.0,6.5,17200,36800,36800,February 1,State and federal aid; merit scholarships available,Yes,2.75,Not required,152.0,154.0,84.0,7.0,26300.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.newark.rutgers.edu/
SOHO Hair Academy,Public Community College,Council Bluffs,IA,"Council Bluffs, IA",Unranked,Estimated (type-based),82.2,840.0,970.0,905.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5000,9500,9500,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sohohairacademy.com/
SOWELA Technical Community College,Public Community College,Lake Charles,LA,"Lake Charles, LA",Unranked,Estimated (type-based),87.0,820.0,955.0,887.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4300,4300,4300,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sowela.edu/
SUNY Adirondack,Public Community College,Queensbury,NY,"Queensbury, NY",Unranked,Estimated (type-based),86.7,810.0,925.0,867.0,16.0,19.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6800,9600,9600,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sunyacc.edu/
SUNY Broome Community College,Public Community College,Binghamton,NY,"Binghamton, NY",Unranked,Estimated (type-based),86.9,855.0,980.0,917.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,8600,14300,14300,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sunybroome.edu/
SUNY Corning Community College,Public Community College,Corning,NY,"Corning, NY",Unranked,Estimated (type-based),84.9,820.0,955.0,887.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6500,10300,10300,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.corning-cc.edu/
Sacramento City College,Public Community College,Sacramento,CA,"Sacramento, CA",Unranked,Estimated (type-based),86.7,835.0,960.0,897.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,1300,12600,12600,August 1,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.scc.losrios.edu/
Sacred Heart Major Seminary,Private University (Nonprofit),Detroit,MI,"Detroit, MI",Unranked,Estimated (type-based),100.0,960.0,1130.0,1040.0,20.0,24.0,22.0,Test-Optional,2.96,80.0,6.5,24100,24100,24100,November 1 (ED); January 15 (RD),Need-based aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,85.0,7.0,19800.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.shms.edu/
Sacred Heart University,Private University (Nonprofit),Fairfield,CT,"Fairfield, CT",Unranked,Estimated (type-based),65.4,1150.0,1300.0,1220.0,25.0,29.0,27.0,Test-Optional,3.36,80.0,6.5,50400,50400,50400,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,43600.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sacredheart.edu/
Saddleback College,Public Community College,Mission Viejo,CA,"Mission Viejo, CA",Unranked,Estimated (type-based),84.7,830.0,955.0,892.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,1200,11900,11900,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.saddleback.edu/
Saginaw Valley State University,Public University,University Center,MI,"University Center, MI",Unranked,Estimated (SAT-based),72.1,920.0,1170.0,1040.0,18.0,26.0,22.0,Test-Optional,2.96,71.0,6.0,12900,30400,30400,November 30,FAFSA-based aid; merit awards available,Yes,2.75,Not required,152.0,154.0,76.0,6.5,20200.0,December 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.svsu.edu/
Saint Ambrose University,Private University (Nonprofit),Davenport,IA,"Davenport, IA",Unranked,Estimated (SAT-based),77.3,930.0,1170.0,1050.0,20.0,25.0,22.0,Test-Optional,3.02,79.0,6.5,36700,36700,36700,February 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Not required,152.0,154.0,84.0,7.0,31800.0,December 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sau.edu/
Saint Anselm College,Private University (Nonprofit),Manchester,NH,"Manchester, NH",Unranked,Estimated (SAT-based),78.0,1110.0,1280.0,1190.0,24.0,30.0,27.0,Test-Optional,3.23,80.0,6.5,48900,48900,48900,January 15,Merit scholarships and need-based aid available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,39800.0,February 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.anselm.edu/
Saint Anthony College of Nursing,Private University (Nonprofit),Rockford,IL,"Rockford, IL",Unranked,Estimated (type-based),64.4,1090.0,1230.0,1160.0,23.0,27.0,25.0,Test-Optional,3.2,80.0,6.5,27800,27800,27800,February 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,156.0,85.0,7.0,22900.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sacn.edu/
Saint Cloud State University,Public University,Saint Cloud,MN,"Saint Cloud, MN",Unranked,Estimated (SAT-based),94.8,1020.0,1260.0,1140.0,17.0,25.0,21.0,Test-Optional,3.23,79.0,6.5,10200,10200,10200,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,8800.0,January 15,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.stcloudstate.edu/
Saint Elizabeth School of Nursing,Public Community College,Lafayette,IN,"Lafayette, IN",Unranked,Estimated (type-based),88.9,860.0,1005.0,932.0,18.0,21.0,20.0,Not required (open admission),N/A (Open Admission),61.0,5.5,20200,20200,20200,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.steson.org/
Saint Elizabeth University,Private University (Nonprofit),Morristown,NJ,"Morristown, NJ",Unranked,Estimated (type-based),71.0,1070.0,1220.0,1140.0,23.0,27.0,25.0,Test-Optional,3.16,80.0,6.5,36700,36700,36700,February 1,Merit and need-based scholarships available,Yes,2.75,Not required,152.0,155.0,85.0,7.0,30600.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.steu.edu/
Saint Francis Medical Center College of Nursing,Private University (Nonprofit),Peoria,IL,"Peoria, IL",Unranked,Estimated (type-based),68.3,1110.0,1240.0,1170.0,24.0,27.0,26.0,Test-Optional,3.26,80.0,6.5,36900,36900,36900,January 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,155.0,85.0,7.0,32000.0,January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sfmccon.edu/
Saint John's Seminary,Private University (Nonprofit),Brighton,MA,"Brighton, MA",Unranked,Estimated (type-based),69.9,1100.0,1250.0,1170.0,24.0,27.0,26.0,Test-Optional,3.27,80.0,6.5,37700,37700,37700,February 1,Merit and need-based scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,33200.0,January 1,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sjs.edu/
Saint Johns River State College,Public University,Palatka,FL,"Palatka, FL",Unranked,Estimated (type-based),71.0,1060.0,1220.0,1140.0,23.0,27.0,25.0,Test-Optional,3.15,79.0,6.5,2600,9300,9300,Rolling admissions,Need-based aid; merit scholarships; in-state tuition benefit,Yes,2.75,Not required,152.0,154.0,84.0,7.0,5400.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sjrstate.edu/
Saint Johns University,Private University (Nonprofit),Collegeville,MN,"Collegeville, MN",Unranked,Estimated (SAT-based),90.6,940.0,1230.0,1080.0,21.0,27.0,24.0,Test-Optional,3.01,79.0,6.5,55800,55800,55800,January 1,Merit scholarships and need-based aid available,Yes,2.75,Not required,150.0,152.0,84.0,7.0,45700.0,December 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://csbsju.edu/
Saint Joseph Seminary College,Private University (Nonprofit),St. Benedict,LA,"St. Benedict, LA",Unranked,Estimated (type-based),66.0,1100.0,1250.0,1170.0,24.0,27.0,26.0,Test-Optional,3.24,80.0,6.5,28000,28000,28000,December 1 (ED); January 1 (RD),Merit and need-based scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,23700.0,January 1,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sjasc.edu/
Saint Joseph's College of Maine,Private University (Nonprofit),Standish,ME,"Standish, ME",Unranked,Estimated (SAT-based),83.5,960.0,1150.0,1060.0,14.0,20.0,17.0,Test-Optional,2.99,79.0,6.5,44400,44400,44400,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,151.0,153.0,84.0,7.0,37000.0,December 15,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sjcme.edu/
Saint Leo University,Private University (Nonprofit),Saint Leo,FL,"Saint Leo, FL",Unranked,Estimated (type-based),78.4,1060.0,1220.0,1130.0,23.0,27.0,25.0,Test-Optional,3.17,80.0,6.5,30000,30000,30000,January 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),152.0,154.0,85.0,7.0,25700.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.saintleo.edu/
Saint Louis Community College,Public University,Bridgeton,MO,"Bridgeton, MO",Unranked,Estimated (type-based),69.2,1060.0,1220.0,1130.0,23.0,27.0,25.0,Test-Optional,3.11,79.0,6.5,3700,7000,7000,March 1,State and federal aid; merit scholarships available,Yes,2.75,Not required,152.0,154.0,84.0,7.0,5000.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.stlcc.edu/
Saint Louis University,Private University (Nonprofit),Saint Louis,MO,"Saint Louis, MO",Unranked,Estimated (SAT-based),75.0,1200.0,1410.0,1300.0,25.0,31.0,28.0,Test-Optional,3.47,84.0,6.5,55800,55800,55800,January 1,Merit and need-based scholarships available,Yes,3.3,Optional for most programs,153.0,158.0,89.0,7.0,45900.0,January 15,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.slu.edu/
Saint Mary's College,Private University (Nonprofit),Notre Dame,IN,"Notre Dame, IN",Unranked,Estimated (SAT-based),76.0,1130.0,1320.0,1230.0,26.0,30.0,28.0,Test-Optional,3.36,80.0,6.5,53200,53200,53200,January 15,Merit scholarships and need-based aid available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,45400.0,January 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.saintmarys.edu/
Saint Mary's College of California,Private University (Nonprofit),Moraga,CA,"Moraga, CA",Unranked,Estimated (type-based),86.5,1080.0,1220.0,1140.0,23.0,27.0,25.0,Test-Optional,3.19,80.0,6.5,57800,57800,57800,January 15,Merit scholarships and need-based aid available,Yes,2.75,Not required,151.0,153.0,85.0,7.0,49300.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.stmarys-ca.edu/
Saint Mary's University of Minnesota,Private University (Nonprofit),Winona,MN,"Winona, MN",Unranked,Estimated (type-based),92.8,990.0,1130.0,1070.0,21.0,24.0,22.0,Test-Optional,3.03,80.0,6.5,45100,45100,45100,December 1 (ED); January 1 (RD),Merit and need-based scholarships available,Yes,2.75,Not required,150.0,152.0,85.0,7.0,37900.0,December 1,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.smumn.edu/
Saint Mary-of-the-Woods College,Private University (Nonprofit),Saint Mary of the Woods,IN,"Saint Mary of the Woods, IN",Unranked,Estimated (type-based),72.4,1080.0,1240.0,1170.0,23.0,27.0,25.0,Test-Optional,3.29,80.0,6.5,35300,35300,35300,January 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),152.0,155.0,85.0,7.0,31700.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.smwc.edu/
Saint Meinrad School of Theology,Private University (Nonprofit),St. Meinrad,IN,"St. Meinrad, IN",Unranked,Estimated (type-based),63.2,1080.0,1240.0,1160.0,23.0,27.0,25.0,Test-Optional,3.19,80.0,6.5,34400,34400,34400,November 1 (ED); January 15 (RD),Merit scholarships and need-based aid available,Yes,2.75,Not required,153.0,156.0,85.0,7.0,28100.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.saintmeinrad.edu/
Saint Paul College,Public Community College,Saint Paul,MN,"Saint Paul, MN",Unranked,Estimated (type-based),82.8,830.0,985.0,907.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6300,6300,6300,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.saintpaul.edu/
Saint Paul School of Theology,Private University (Nonprofit),Leawood,KS,"Leawood, KS",Unranked,Estimated (type-based),64.9,1080.0,1220.0,1160.0,23.0,27.0,25.0,Test-Optional,3.2,80.0,6.5,35200,35200,35200,January 15,Need-based aid; merit scholarships available,Yes,2.75,Not required,153.0,156.0,85.0,7.0,29400.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.spst.edu/
Saint Peter's University,Private University (Nonprofit),Jersey City,NJ,"Jersey City, NJ",Unranked,Estimated (type-based),90.3,1000.0,1140.0,1060.0,21.0,25.0,23.0,Test-Optional,2.96,80.0,6.5,42600,42600,42600,February 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),150.0,152.0,85.0,7.0,34300.0,January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.saintpeters.edu/
Saint Vincent de Paul Regional Seminary,Private University (Nonprofit),Boynton Beach,FL,"Boynton Beach, FL",Unranked,Estimated (type-based),71.3,1100.0,1230.0,1170.0,24.0,27.0,26.0,Test-Optional,3.29,80.0,6.5,38400,38400,38400,January 15,Need-based aid; merit scholarships available,Yes,2.75,Not required,152.0,155.0,85.0,7.0,34200.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.svdp.edu/
Saint Xavier University,Private University (Nonprofit),Chicago,IL,"Chicago, IL",Unranked,Estimated (type-based),84.3,990.0,1150.0,1080.0,21.0,25.0,23.0,Test-Optional,3.0,80.0,6.5,37900,37900,37900,January 1,Merit scholarships and need-based aid available,Yes,2.75,Not required,151.0,153.0,85.0,7.0,30300.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sxu.edu/
Salem College of Hairstyling,Private University (For-Profit),Rolla,MO,"Rolla, MO",Unranked,Estimated (type-based),84.0,960.0,1075.0,1017.0,20.0,23.0,22.0,Not required,2.42,80.0,6.5,17500,17500,17500,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.centralandsalemcolleges.com/
Salem Community College,Public Community College,Carneys Point,NJ,"Carneys Point, NJ",Unranked,Estimated (type-based),84.6,850.0,990.0,920.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6400,10300,10300,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.salemcc.edu/
Salem State University,Public University,Salem,MA,"Salem, MA",Unranked,Estimated (type-based),95.9,1020.0,1150.0,1090.0,22.0,25.0,24.0,Test-Optional,3.13,79.0,6.5,12300,19500,19500,January 15,Institutional merit awards; need-based grants,Yes,2.75,Not required,149.0,151.0,84.0,7.0,15400.0,Rolling / January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.salemstate.edu/
Salina Area Technical College,Public Community College,Salina,KS,"Salina, KS",Unranked,Estimated (type-based),85.9,840.0,990.0,915.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,7100,7100,7100,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.salinatech.edu/
Salisbury University,Public University,Salisbury,MD,"Salisbury, MD",Unranked,Estimated (SAT-based),87.5,1180.0,1320.0,1250.0,20.0,29.0,24.0,Test-Optional,3.39,84.0,6.5,11100,22200,22200,February 1,Institutional merit awards; need-based grants,Yes,3.0,Optional for most programs,149.0,153.0,89.0,7.0,15100.0,Rolling / January 15,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.salisbury.edu/
Salish Kootenai College,Public University,Pablo,MT,"Pablo, MT",Unranked,Estimated (type-based),77.8,1080.0,1220.0,1150.0,23.0,27.0,25.0,Test-Optional,3.24,79.0,6.5,4300,11600,11600,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,151.0,153.0,84.0,7.0,9600.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.skc.edu/
